WindPRO Meteo Data Export version 7
Geographical Coordinates (WGS84):	Longitude: 	9.120000	Latitude: 	56.065548
Local Coordinates: (UTM (north)-WGS84 Zone: 32)	Easting: 	507471.46	Northing: 	6213381.43	EPSG: 32632
Description:	ERA5 (Gaussian Grid)_N56.065548_E009.12
User label:	
Date time format:	yyyy-MM-dd hh:mm
Decimal separator:	"."
Digit group separator:	","
Displacement height [m]:	0.0
All time stamps:	(UTC+01:00) Brussels, Copenhagen, Madrid, Paris
UTC offset [minutes]:	-60

StatusValues:
Ok	0
Disabled	1
Below limit	2
Above limit	4
Duplicate	8
Null value	16
Missing	32
Other error	128

Calibration factors: The files that windPRO imports from are assumed to hold calibrated data - from these it is often possible to see which logger calibration factors are used.
windPRO offer by import optional recalibration factors. Please note that although it is possible to have individual calibration factors for each signal type, only the scale and offset from the first file, from the first import filter, are shown below.
Additionally, if a signal is based on multiple channels, only the scale and offset of the first channel is exported.
Logger scale	#N/A
Logger offset	#N/A
Import scale	1	1							1	1							1	1	1	1									
Import offset	0	0							0	0							0	0	0	0									

Note that SampleStatus takes precedence over DataStatus which means that DataStatus is only relevant if SampleStatus is OK.

TimeStamp	MeanWindSpeedUID_10.0m|Mean wind speed|L-1.00|U75.00	DirectionUID_10.0m|Wind direction|L0.00|U360.00	Comment_10.0m	TimeStampStatus_10.0m	SampleStatus_10.0m	DataStatus_MeanWindSpeedUID_10.0m	DataStatus_DirectionUID_10.0m	MeanWindSpeedUID_100.0m|Mean wind speed|L-1.00|U75.00	DirectionUID_100.0m|Wind direction|L0.00|U360.00	Comment_100.0m	TimeStampStatus_100.0m	SampleStatus_100.0m	DataStatus_MeanWindSpeedUID_100.0m	DataStatus_DirectionUID_100.0m	TemperatureUID_2.0m|Temperature|L-50.00|U60.00	SolarRadiationUID_2.0m|Solar irradiation|L-10.00|U2000.00	StabilityUID_2.0m|Stability (1/L)	RelativeHumidityUID_2.0m|Relative humidity|L0.00|U100.00	Comment_2.0m	TimeStampStatus_2.0m	SampleStatus_2.0m	DataStatus_TemperatureUID_2.0m	DataStatus_SolarRadiationUID_2.0m	DataStatus_StabilityUID_2.0m	DataStatus_RelativeHumidityUID_2.0m	
	[m/s]	[Degrees]						[m/s]	[Degrees]						[Deg C]	[W/m²]	[1/m]	[%]							
2005-01-01 01:00	3.01	259.9		0	0	0	0	7.13	270.2		0	0	0	0	-0.2	0.0000	0.064790	94.3		0	0	0	0	0	0
2005-01-01 02:00	3.06	257.1		0	0	0	0	7.22	267.0		0	0	0	0	-0.2	0.0000	0.054293	93.6		0	0	0	0	0	0
2005-01-01 03:00	2.98	252.0		0	0	0	0	7.02	262.7		0	0	0	0	-0.2	0.0000	0.044696	93.6		0	0	0	0	0	0
2005-01-01 04:00	2.77	240.4		0	0	0	0	6.67	254.9		0	0	0	0	-0.4	0.0000	0.036127	94.3		0	0	0	0	0	0
2005-01-01 05:00	2.94	224.9		0	0	0	0	6.81	241.6		0	0	0	0	-0.2	0.0000	0.040026	93.6		0	0	0	0	0	0
2005-01-01 06:00	3.35	217.7		0	0	0	0	7.52	232.5		0	0	0	0	0.2	0.0000	0.026029	93.7		0	0	0	0	0	0
2005-01-01 07:00	3.76	214.4		0	0	0	0	7.91	226.1		0	0	0	0	0.9	0.0000	0.027784	94.4		0	0	0	0	0	0
2005-01-01 08:00	4.00	214.0		0	0	0	0	8.32	224.4		0	0	0	0	1.0	0.0000	0.023829	95.1		0	0	0	0	0	0
2005-01-01 09:00	4.26	216.0		0	0	0	0	8.55	225.8		0	0	0	0	1.7	18.9700	0.016701	94.4		0	0	0	0	0	0
2005-01-01 10:00	4.58	214.9		0	0	0	0	8.70	223.5		0	0	0	0	2.4	50.4500	0.009338	94.5		0	0	0	0	0	0
2005-01-01 11:00	4.89	214.1		0	0	0	0	8.62	221.7		0	0	0	0	3.4	59.4800	0.005944	94.5		0	0	0	0	0	0
2005-01-01 12:00	5.24	212.9		0	0	0	0	9.09	219.0		0	0	0	0	4.7	43.9500	0.005637	93.2		0	0	0	0	0	0
2005-01-01 13:00	5.68	213.3		0	0	0	0	9.60	218.2		0	0	0	0	5.2	33.0500	0.005430	94.6		0	0	0	0	0	0
2005-01-01 14:00	5.92	212.6		0	0	0	0	9.96	216.7		0	0	0	0	5.4	28.3600	0.005922	94.6		0	0	0	0	0	0
2005-01-01 15:00	6.04	212.4		0	0	0	0	10.17	215.9		0	0	0	0	5.6	7.7200	0.006516	94.6		0	0	0	0	0	0
